Acc-1,Acc-2,Acc-3,Gps-1,Gps-2,Gyr-1,Gyr-2,Gyr-3,MagF-1,MagF-2,MagF-3,Class
3.5996823,-5.056554,0.89184016,-21.928194,-50.491936,-0.14126259,-2.3064744,-2.0791562,-12.66,-18.119999,-5.2275,0
1.2114661,-23.42008,-0.6392518,-21.928228,-50.49194,-0.95432425,0.13637567,-1.5141059,-11.9775,-17.58,0.7725,0
3.551798,-7.620744,1.0941502,-21.928307,-50.491955,-0.13515393,-0.69806623,-0.6924921,-15.3375,-15.795,4.83,0
1.2294226,-10.022128,2.2002714,-21.928328,-50.491966,1.1922562,1.9262109,0.36735907,-12.697499,-18.6,9.5025,0
13.2351465,-7.8469963,-0.7098808,-21.928354,-50.491974,-0.20723604,-0.86666507,-0.73097664,-13.5,-20.002499,8.1975,0
-3.2441432,-20.803219,-1.6675615,-21.92838,-50.49198,-0.6629415,-0.14340061,-1.1787409,-16.755,-15.6825,-2.7675,0
7.2783732,-10.44231,3.168726,-21.928427,-50.491974,-1.6629279,-1.0151054,-1.3797156,-18.8925,-14.759999,-0.69,0
0.81283146,-10.334572,-7.587225,-21.928442,-50.49197,-0.6079636,2.0373883,0.39790234,-20.505,-15.1725,-0.60749996,0
1.3323733,-5.7137623,1.3599066,-21.928455,-50.491966,2.8556423,-0.6724099,1.7283669,-20.8125,-15.0824995,6.0225,0
-0.4141969,-10.787076,1.6196774,-21.928467,-50.491962,1.1782063,0.07651087,1.5597681,-10.23,-17.4825,16.432499,0
4.7321396,-7.0808516,11.680113,-21.92849,-50.491955,0.19226983,1.7246253,0.76686496,-2.73,-18.285,15.3975,0
8.425196,-16.56189,-1.9021933,-21.928501,-50.49195,-1.3196217,2.2499695,2.5518131,1.8,-17.805,15.7575,0
-2.1380222,-3.0502129,2.870648,-21.928507,-50.49195,2.113441,-0.1873829,1.2781591,5.5125,-16.5375,17.205,0
1.5777789,-6.0728927,-0.090979666,-21.928522,-50.491955,-0.474795,-2.0853412,-2.080989,1.3125,-18.225,16.035,0
3.300407,-14.330494,4.6363716,-21.928549,-50.49195,-1.4912748,0.88712907,-5.1744103,1.4475,-16.477499,18.539999,0
7.2245035,-8.716091,6.841431,-21.92859,-50.49195,-0.4436409,0.6721045,0.52068627,-9.6975,-12.809999,19.2375,0
4.1096473,-9.576807,2.858677,-21.928598,-50.49195,1.727985,1.6904168,0.6343072,-15.855,-12.195,15.315,0
-1.543063,-9.508572,1.2413936,-21.928617,-50.49196,0.082924955,1.6299412,2.3166301,-15.3525,-18.1125,9.2699995,0
-11.951855,-23.148338,-13.3704195,-21.92864,-50.49197,0.064599,1.9359847,0.22014056,-10.8525,-21.307499,6.2774997,0
30.487764,-25.449167,-30.776266,-21.928665,-50.49198,-0.6097962,1.7924314,-0.7767915,-11.55,-18.5175,7.305,0
-1.7860745,-3.2980127,2.3139958,-21.92868,-50.49198,1.9252945,0.14737125,0.45959973,-11.497499,-17.205,9.1425,0
0.11731588,-8.455123,0.9648633,-21.928705,-50.49198,-0.4222606,-2.217899,-2.243479,-10.1925,-16.89,6.4125,0
2.3834279,-13.761871,1.6065093,-21.92871,-50.49198,-1.8901697,0.23655757,-4.662505,-13.3125,-13.74,2.2649999,0
7.4746976,-10.30225,3.930082,-21.928732,-50.491978,-0.90484416,-0.89720833,-0.51717377,-15.7125,-13.162499,2.6924999,0
2.6539726,-10.821792,-0.6607997,-21.928741,-50.491978,0.7163922,0.22434026,1.4229342,-16.3575,-11.9175,0.03,0
3.4488475,-9.216479,4.0940847,-21.928766,-50.491955,2.3193026,0.1498147,1.1498774,-16.2075,-15.4425,1.275,0
0.31244332,-8.707711,3.383007,-21.92877,-50.491936,-0.6794349,0.92927873,1.5768722,-12.7725,-20.1975,0.86249995,0
6.669049,-4.5166616,-6.859388,-21.92877,-50.49192,-0.95310247,2.0874794,2.5951846,-9.915,-20.055,0.8175,0
-2.3463178,-2.5486276,2.2409728,-21.928766,-50.4919,1.8538233,-0.4457789,1.1901946,-8.97,-21.3675,2.205,0
7.48188,-3.5242648,-2.3678656,-21.928766,-50.491898,0.5936083,-1.8574885,-1.309466,-9.8475,-21.9975,1.4399999,0
-0.3866636,-21.176714,1.4652514,-21.928764,-50.49188,-1.1925616,0.39354995,-1.5641968,-12.5625,-19.994999,-1.0575,0
4.4436383,-11.377247,-1.1264719,-21.928762,-50.491867,-2.4656048,-0.36880988,-2.1274145,-17.2875,-16.935,-0.022499999,0
6.646304,-9.615114,5.4049106,-21.928764,-50.49185,-0.2603813,0.23472497,0.58910316,-19.2675,-13.3875,1.8299999,0
1.2605472,-6.0238113,1.0043676,-21.928766,-50.49184,2.5141687,0.65011334,1.8279378,-17.07,-13.6875,0.60749996,0
1.163582,-13.368025,3.4165258,-21.928774,-50.49183,1.5331191,1.3709344,2.1504748,-13.747499,-17.512499,0.9525,0
6.039374,-8.815451,8.397662,-21.92878,-50.49181,-0.03863723,1.5639677,0.93240947,-9.7725,-19.109999,-0.0525,0
39.221813,-22.814348,-2.8862102,-21.92878,-50.4918,-0.68310004,1.7869335,-0.029703323,-10.785,-19.4925,-1.5525,0
-1.210269,-3.1244333,2.634819,-21.928774,-50.49175,1.8110627,0.049021937,0.35697436,-10.4175,-21.779999,1.29,0
0.10414778,-7.668628,2.2170308,-21.928772,-50.491734,-0.08384126,-1.9442314,-2.9227612,-11.3324995,-22.365,0.45749998,0
5.827487,-8.061277,-1.2545617,-21.928768,-50.491722,-1.4918857,-0.8000808,-3.1842115,-14.6325,-18.675,0.2925,0
2.693477,-12.731168,-0.19752164,-21.928766,-50.49171,0.15989397,0.075289145,1.4027756,-16.8225,-15.9225,-1.485,0
4.3394904,-7.050924,1.7298107,-21.92876,-50.4917,0.3462079,0.47112983,0.8462774,-16.4925,-15.795,-2.34,0
-0.63087213,-11.098322,0.06823475,-21.928751,-50.49168,0.77686787,1.0978775,1.9910389,-13.634999,-18.4425,-1.9275,0
2.9640217,-7.183802,-0.61770403,-21.928745,-50.491665,0.22525656,0.07345655,-0.17081319,-12.0225,-19.125,-1.8675,0
5.0864816,-11.973403,-1.0785879,-21.92874,-50.49165,-1.2114985,-0.31138855,-3.4975853,-14.49,-15.764999,-5.1075,0
4.128801,-11.858481,0.2837129,-21.928738,-50.491634,0.2930626,-0.0364992,1.3624586,-16.244999,-14.662499,-4.41,0
4.6220064,-8.939949,1.7274165,-21.928738,-50.491596,-0.7619017,1.8950567,0.46754098,-15.8775,-16.109999,-5.52,0
-0.61530983,-6.2883706,-0.5327099,-21.928738,-50.491596,-0.37522396,2.2279782,2.2359958,-14.782499,-18.7575,-6.0225,0
2.2361844,-7.109582,-1.0271125,-21.928738,-50.49158,0.4812091,-0.04810564,0.022220224,-16.0425,-20.137499,-3.7575,0
-3.4344823,-23.68464,-1.2976574,-21.928738,-50.491566,-0.8950703,0.7124216,-1.5409839,-13.469999,-19.35,-6.6825,0
4.5501804,-10.965444,2.742558,-21.928738,-50.491524,-0.59696805,-0.36209038,-0.20502165,-17.8725,-15.6375,-2.475,0
2.6408045,-10.630256,-15.45577,-21.928736,-50.491512,1.012051,-0.20754147,1.6135242,-17.9925,-14.527499,-0.5925,0
-0.020350715,-8.947132,3.3542767,-21.928734,-50.491497,0.5196936,1.2066116,1.4516449,-11.9025,-19.5975,2.6025,0
24.876953,-14.030022,2.3355439,-21.928732,-50.49149,-0.7673995,-0.31871894,-0.09201158,-6.5625,-20.07,12.84,0
-1.5191209,-3.6236243,2.9747956,-21.928722,-50.491463,2.001042,-0.012064588,0.17799085,3.0974998,-17.5275,16.5075,0
0.9804256,-8.991425,1.283292,-21.928717,-50.491447,-0.011759156,-1.7713565,-2.266692,5.22,-16.4175,16.8825,0
1.8195933,-8.725668,0.2801216,-21.928715,-50.491436,-2.0667098,-0.5209153,-3.9734492,-0.3825,-15.5625,18.27,0
4.9284644,-12.546814,1.6591818,-21.928713,-50.49142,-0.5035057,-0.40668353,0.40462187,-1.7624999,-13.724999,19.635,0
2.8060043,-9.293094,-1.816002,-21.928713,-50.491405,0.03894266,1.6769779,2.1474204,-4.47,-9.8925,21.18,0
2.8778305,-7.8733325,3.654749,-21.928715,-50.491386,3.5123224,1.186453,2.357558,-0.9525,-9.412499,21.727499,0
-0.63206923,-2.670732,1.9369092,-21.928715,-50.49136,-0.25671613,1.3562735,2.3917665,7.125,-13.575,18.81,0
-0.16280572,-10.953473,-6.027403,-21.928726,-50.491356,0.23625213,-0.50625455,-4.3179774,11.1525,-13.1325,19.342499,0
5.8107276,-11.135432,3.1663318,-21.928732,-50.49136,-1.5688547,-0.572228,-1.032744,-1.3275,-14.827499,20.025,0
-3.3171666,-1.2114661,1.578976,-21.928732,-50.491364,1.7566957,-0.8886562,1.256168,13.8075,-12.037499,16.425,0
-0.5446809,-1.4580688,1.5753847,-21.928734,-50.491364,-0.7118107,2.4539983,1.5787048,4.6425,-15.134999,18.18,0
5.7628436,-9.880871,3.2752678,-21.928244,-50.49194,-0.24877487,0.61529404,0.2506838,-4.245,-11.2725,20.1225,0
4.3754034,-10.445902,1.887828,-21.928267,-50.491943,3.0553951,-1.6888897,2.1156554,0.037499998,-10.755,21.8025,0
-3.6619315,-10.757148,2.0853498,-21.92839,-50.49198,-0.656222,3.1393893,2.6862035,3.99,-13.5,19.3725,0
-6.4104753,-21.498734,-13.949816,-21.92841,-50.49198,-0.100334615,-0.123242065,-0.1915826,6.1724997,-16.297499,17.1525,0
-3.204639,-3.702633,-0.25617957,-21.928473,-50.49196,0.46043968,-1.3797919,2.144366,13.4775,-10.875,17.512499,0
5.1547165,-4.5418005,-1.258153,-21.928535,-50.491955,-0.08017606,-1.6595682,-1.6185638,9.1125,-13.162499,19.035,0
2.1511903,-17.934965,-0.48362875,-21.928562,-50.49195,-1.725847,0.87857693,-2.456671,1.5825,-15.322499,18.4725,0
5.959168,-11.235989,4.614824,-21.928585,-50.49195,-0.54809886,-0.23625213,0.7051676,0.7725,-13.53,20.234999,0
1.8926164,-13.53562,-1.2593501,-21.928606,-50.491955,0.76342887,-0.37675115,2.0258582,2.6174998,-11.5275,21.6225,0
3.1950622,-14.326903,2.56419,-21.928623,-50.49196,1.2331842,0.49006665,1.4944055,8.8575,-12.0824995,18.84,0
-3.240552,-13.3943615,0.23343466,-21.928635,-50.491966,-0.5737552,-0.6834055,1.1260537,12.974999,-12.3825,16.605,0
-1.9668367,-5.2325277,-0.5734113,-21.92865,-50.491978,-0.6366743,-1.3413074,2.1962895,12.134999,-11.849999,18.0075,0
7.3071036,-3.052607,-2.3942018,-21.928688,-50.49198,0.1366811,-2.090839,-1.97592,12.719999,-11.8949995,17.3475,0
2.779668,-17.496826,0.59136784,-21.928757,-50.49197,-1.7967074,0.33307427,-5.135926,2.1375,-14.4,19.4175,0
5.49589,-9.313444,0.5758055,-21.928776,-50.491825,0.24969117,-0.18616119,0.50052774,-2.2275,-12.2325,20.4525,0
3.855862,-10.144233,0.9840169,-21.92878,-50.491795,2.8043296,-2.3241894,1.3154219,-2.865,-10.6875,22.4625,0
0.1412579,-3.3626564,1.2198458,-21.928778,-50.49178,-0.33551773,0.19257528,1.1101712,6.6974998,-15.9,17.4,0
8.0684595,-13.84088,-5.363012,-21.928774,-50.491764,0.97234476,-0.7499898,-0.27038422,15.0525,-15.059999,12.0075,0
-4.355053,-9.241618,7.955932,-21.928759,-50.491695,0.8923214,3.1595478,-1.5379297,2.9025,-13.799999,20.3025,0
1.353921,-10.691308,0.89184016,-21.928738,-50.49163,-0.8559749,0.7826711,-1.069396,0.285,-12.915,19.814999,0
-1.2401965,3.0945058,2.717419,-21.928738,-50.491615,-1.159575,-1.6668985,-1.9820286,1.2825,-12.63,20.805,0
2.4492683,3.321955,7.7189064,-21.928738,-50.49155,-0.6049093,1.5651895,0.5597816,3.6975,-13.5975,19.7025,0
-1.3239936,3.108871,9.864111,-21.928728,-50.491478,-0.019089539,0.12293663,0.008781188,-5.1,-15.8025,18.3,0
-2.4361002,5.1810527,7.620744,-21.928713,-50.4914,-0.19013181,0.764956,0.7008915,-1.8,-15.202499,19.102499,0
-0.23582886,4.2161894,8.274361,-21.928715,-50.49138,0.09025534,-0.039553523,-0.0022143866,-4.4024997,-13.1025,18.8025,0
-0.18674773,4.4244847,8.566454,-21.928728,-50.491356,-0.0032070426,-0.038331795,-0.012599096,-3.6975,-12.997499,19.8,0
0.02633622,4.3718123,8.497022,-21.92873,-50.491356,-0.046578474,0.037415497,0.0075594573,-3.5024998,-12.997499,20.1,0
-0.039504327,4.1180267,8.813056,-21.928732,-50.49136,-0.0013744468,-0.0053450707,-0.008323039,-3.0974998,-13.2975,19.5975,0
-0.7625532,3.98874,8.604761,-21.928732,-50.49136,-0.010537425,-0.07620544,-0.027259862,-5.1974998,-13.5975,18.9,0
-0.748188,4.0940847,8.574833,-21.928732,-50.491364,0.04810564,0.06429356,0.030161472,-4.4024997,-13.702499,19.297499,0
-1.0666169,4.3502645,8.48146,-21.928732,-50.491364,0.057268616,0.021533,-0.008323039,-4.8975,-13.2,19.7025,0
-1.0247183,4.3873744,8.513782,-21.928732,-50.491364,-0.00870483,0.00076358154,0.023441954,-4.5975,-13.2975,19.5975,0
-1.0055647,4.1635165,8.700529,-21.928732,-50.491364,-0.00870483,-0.0016798794,-0.01198823,-4.2975,-13.4025,19.4025,0
-0.89064306,4.2521024,8.747216,-21.928734,-50.491364,0.033444874,0.03680463,-0.0046578473,-4.2,-13.5,19.5975,0
-1.0702082,4.3299136,8.441956,-21.928734,-50.491364,-0.010537425,-0.021227567,0.0173333,-4.2975,-13.2,19.4025,0
-1.0067618,4.2461166,8.468291,-21.928734,-50.491364,-0.028863383,0.045356743,0.035659257,-4.7999997,-13.2,19.5975,0
-0.9708488,4.2796354,8.651448,-21.928734,-50.491364,0.021838432,0.014813482,-0.0077121737,-4.7025,-13.4025,19.5975,0
-0.51355624,4.5501804,8.578424,-21.928738,-50.49134,0.02367103,0.025809057,0.0313832,-17.602499,-3.5024998,13.4025,1
0.02873042,4.7189717,8.979453,-21.928738,-50.491337,0.043829583,-0.024281893,0.07841983,-17.4975,-3,13.702499,1
0.22984336,4.924873,8.221688,-21.928741,-50.49132,0.016340645,0.041691553,0.04298964,-17.1,-2.3999999,14.099999,1
0.0047884034,4.9428296,8.35337,-21.928738,-50.491238,0.024281893,0.008093964,-0.07551821,-17.3025,-2.3999999,13.702499,1
-0.007182605,4.9643774,8.234857,-21.928734,-50.49122,-0.00076358154,0.026419923,0.006948592,-17.3025,-2.6025,13.799999,1
-0.0035913025,4.8374844,8.206126,-21.928736,-50.491188,-0.030085113,0.00870483,-0.020540344,-17.3025,-2.7,13.8975,1
-0.24181437,4.721366,8.973468,-21.928732,-50.491158,0.09758572,0.025809057,0.012446379,-17.3025,-2.7975,13.799999,1
-0.5542577,3.5936968,11.402386,-21.928728,-50.491135,0.8904888,0.79183406,0.2775619,-17.602499,-4.1025,13.4025,1
-1.4999673,4.4017396,8.333019,-21.928724,-50.491096,0.094531395,0.11927144,-0.042531494,-18.3975,-2.0025,11.7,1
