Acc-1,Acc-2,Acc-3,Gps-1,Gps-2,Gyr-1,Gyr-2,Gyr-3,MagF-1,MagF-2,MagF-3,Class
0.80325466,4.578911,8.130709,-21.928719,-50.491062,-0.2762638,-0.13179417,-0.04680755,-17.602499,-2.7,12.9,1
-0.4369418,3.0609868,9.564836,-21.928715,-50.491024,0.24724771,-0.020616703,-0.089568116,-18.3975,-5.4975,11.9025,1
0.5722142,4.250905,8.607155,-21.928713,-50.49099,0.063988134,-0.08353582,0.123623855,-15.599999,-4.5975,15.697499,1
16.37993,-2.7940333,-6.7684083,-21.928705,-50.49095,-1.9879082,2.2353086,-1.6118443,14.8949995,-6.4725,18.69,1
10.644621,-7.856573,8.5700445,-21.9287,-50.490932,-2.1901047,-1.3950635,-0.09017898,10.6725,-16.8,15.075,1
0.2645593,0.49200845,-2.5234885,-21.928694,-50.4909,-2.5187502,-2.7951667,-3.8983128,14.025,-12.0075,16.5225,1
-3.217807,1.2234371,1.3994108,-21.92869,-50.49086,-0.9976957,-3.1726813,-3.4413857,10.605,-13.4625,18.404999,1
14.894329,-12.325351,-6.7624226,-21.928686,-50.49083,0.07620544,0.9427178,0.22502749,4.68,-12.5475,20.88,1
-2.1212628,-4.0426097,8.1797905,-21.928682,-50.49079,-0.9958631,2.8706086,-0.41515929,12.2699995,-13.4175,15.48,1
4.3155484,-39.221813,9.428367,-21.928679,-50.490757,2.354122,6.3433776,1.8035033,-1.14,-11.745,21.7875,1
-20.262129,-36.61812,-31.247923,-21.928675,-50.490738,-1.1809553,-6.36262,1.3410783,5.0025,-14.549999,19.275,1
-5.068525,-28.228836,5.9184666,-21.92867,-50.490707,1.5654949,7.195534,5.4143276,-6.6299996,-8.235,20.865,1
5.0613422,-1.555034,5.199009,-21.928667,-50.490677,0.8752172,15.201534,-12.627577,2.4225,-14.5575,19.59,1
1.8411411,0.10175357,10.296265,-21.928667,-50.490643,3.912439,10.563846,0.48769954,1.9649999,-11.9175,21.734999,1
7.904457,0.32202014,-0.7457938,-21.928667,-50.49061,-1.5725199,-0.9821186,-1.8348101,-0.3225,-13.6425,21.1875,1
-2.0123265,-1.4879963,3.4141316,-21.92867,-50.49059,-2.0948095,-2.227062,0.5225189,7.335,-14.737499,17.9175,1
-3.8235402,-36.426582,2.5617957,-21.928682,-50.490555,4.081038,8.757517,3.296458,-2.1599998,-10.6125,19.2225,1
-10.959458,-39.221813,-2.3427265,-21.928696,-50.49053,-0.41126502,-4.574006,0.33437237,0.78749996,-14.04,21.074999,1
-10.948685,-27.662607,3.8402996,-21.92871,-50.490498,4.3650904,1.4191927,2.0735056,-0.6525,-10.8375,21.164999,1
5.7855883,0.7110779,-2.2756886,-21.928722,-50.490467,-2.0233383,-4.358371,-2.2233205,1.1625,-13.492499,21.359999,1
0.08619126,0.93972415,0.6811504,-21.928732,-50.490448,-2.5199718,-10.79689,-1.6692656,5.1825,-15.059999,18.96,1
9.90601,-34.37954,9.831789,-21.928741,-50.490425,0.18555032,0.860251,-0.8458193,-4.23,-10.9425,22.4175,1
-21.753717,-32.424675,-28.081593,-21.928751,-50.490395,-1.3917037,-5.3925657,0.33620495,3,-14.28,19.102499,1
-10.030508,-37.100548,18.702307,-21.928759,-50.490364,-0.6097962,0.79427755,3.7008507,-5.6549997,-10.3125,21.9975,1
4.7979803,1.4317327,-2.6084828,-21.928762,-50.490334,-2.1485658,-3.269809,-2.5226443,1.3874999,-13.83,21.9075,1
-9.419987,3.072958,-30.516495,-21.928762,-50.490303,-1.3642148,-5.953951,0.04176791,-1.3125,-13.575,18.8325,1
27.502195,-17.14847,-14.850036,-21.92876,-50.490273,-0.27320948,-1.4769194,-0.5403867,-4.7025,-14.865,22.199999,1
-3.7481227,-15.610195,-14.348451,-21.928755,-50.49024,-1.1113166,-4.638147,0.85605127,-2.5125,-15.915,19.5525,1
-4.0019083,-10.618284,0.81522566,-21.92875,-50.490223,-0.66355234,0.4485278,8.043491,-12.9375,-7.5975,17.422499,1
7.668628,-5.9651537,3.9133227,-21.928728,-50.490204,-4.052633,13.830142,-11.828566,-3.87,-16.65,17.2425,1
0.08379706,2.268506,7.3849154,-21.928698,-50.490192,-0.09972375,0.2848159,-1.3552809,-12,-15.5475,14.445,1
17.373524,-6.4068837,-15.585056,-21.92867,-50.490185,-1.2933544,-1.651016,-0.7334201,-9.8324995,-9.63,19.994999,1
-0.7721301,-8.421604,-1.5155296,-21.92866,-50.490185,0.47143525,-3.4927747,0.5451209,0.285,-17.0175,17.1975,1
1.6208745,-13.43626,-17.246632,-21.9286,-50.490208,-0.8016079,1.4210253,5.943337,-13.282499,-7.1475,17.6775,1
5.543774,1.2797008,-2.6204538,-21.928576,-50.49023,-2.355649,-5.3253703,-2.2642484,-5.7149997,-15.9675,18.15,1
0.24540567,1.6938977,-0.7134721,-21.928553,-50.49025,-2.2872322,-8.899543,-1.1891255,3.5249999,-16.065,17.8575,1
11.646594,-38.704666,2.9759927,-21.92853,-50.49027,1.7505871,6.757544,1.9568305,-10.2225,-9.434999,20.3175,1
22.620419,-39.221813,39.195477,-21.928509,-50.490288,-0.70264775,1.7734945,-5.1023283,3.2024999,-16.0875,19.064999,1
0.46088383,0.053869538,6.4224463,-21.928486,-50.49031,0.5166393,2.2939517,-1.2978595,1.9124999,-15.389999,18.765,1
16.25184,-7.9343843,-17.071856,-21.928442,-50.490345,-1.1797335,-1.7634152,-0.5782603,-0.3075,-14.25,20.07,1
-1.7561469,-9.66659,-4.7764325,-21.928411,-50.490356,-0.11988231,-3.631441,1.0020481,13.2,-14.205,16.5225,1
-19.535488,-39.221813,26.142288,-21.928383,-50.490364,0.9265299,0.80832744,2.9048934,8.16,-14.032499,15.8925,1
9.276335,0.8595184,-2.8179753,-21.928354,-50.49037,-1.3477215,-2.698039,-1.6173421,15.12,-8.7975,14.88,1
-2.5893292,-1.6424223,5.422867,-21.928282,-50.490383,-1.3526083,-3.8611264,-0.9673815,19.89,-8.3625,-9.742499,1
-0.7697359,-37.317226,12.277467,-21.928251,-50.490387,2.3101397,15.096465,3.4271832,12.285,-19.342499,4.1475,1
-16.304514,-39.221813,4.1419687,-21.928223,-50.490395,-0.6586655,-5.545282,-1.4127022,21.119999,-10.5,-6.5025,1
0.14724341,-0.17597382,5.2289367,-21.928192,-50.49041,0.030390546,11.99266,0.9159161,18.9825,-14.5125,-5.7374997,1
12.459426,0.63087213,-4.3777976,-21.928165,-50.49043,-1.3923146,-0.7982482,-1.2569315,13.5225,-17.055,-9.2775,1
-2.9101522,-6.578069,8.588001,-21.928123,-50.49048,-0.46379945,1.2414309,-0.033368513,11.79,-9.0075,-17.699999,1
-8.710106,-26.7983,4.602853,-21.928104,-50.49051,7.9349866,-3.6467128,8.6665745,9.0525,-21.547499,-4.305,1
6.181829,-2.4887726,3.3734303,-21.928097,-50.490646,-1.0257955,6.232811,-9.787054,18.9825,-11.264999,-9.3,1
0.46447513,0.7158663,2.3511062,-21.928099,-50.490677,-0.016035212,-1.1604912,-0.6961573,18.525,-14.58,-6.9975,1
19.260155,-13.042414,-13.721169,-21.928108,-50.490726,-0.21639901,-1.4188873,-1.0199159,10.8825,-20.16,-7.7999997,1
0.39624038,-10.976217,-14.097059,-21.928114,-50.490757,-1.2145529,-4.2099304,0.404011,19.8375,-11.1525,-7.17,1
-2.7700913,-29.087156,19.734207,-21.92812,-50.490784,0.29428434,4.764291,4.108298,9.705,-21.172499,1.125,1
8.844181,1.520318,-4.7644615,-21.928122,-50.490803,-2.1736112,-3.6351063,-1.8842902,21.6225,-9.69,3.8325,1
-1.6400281,0.80804306,3.9719806,-21.928127,-50.49083,-1.5596917,-7.5195985,-1.5379297,16.012499,-5.745,-15.622499,1
-3.3722332,-33.01724,-0.90740246,-21.928137,-50.490883,7.2398224,-8.113359,5.4155493,7.6275,-21.9375,5.6025,1
5.5629277,-3.3279405,3.821146,-21.928143,-50.49091,0.1207986,8.834486,-9.746737,20.535,-10.215,-0.405,1
-0.9744401,0.7457938,-5.5042696,-21.928148,-50.49096,-1.3910929,-6.4530277,-1.236773,21.9525,-9.224999,-6.8849998,1
19.78688,-17.324444,-8.444349,-21.928156,-50.490997,0.11285736,-1.0511464,-0.6857726,10.6725,-20.7225,1.11,1
-15.142129,-39.221813,-17.592594,-21.928162,-50.49102,-0.058184914,-5.3791265,0.6288094,20.445,-10.514999,-6.5025,1
-0.18674773,-0.2705448,7.443573,-21.928175,-50.491062,2.0444133,13.565638,1.0173197,18.0825,-16.095,-5.8424997,1
8.457518,-5.7484784,-7.237672,-21.928183,-50.49109,-1.6036739,-0.75732017,-0.6283513,7.98,-20.085,-9.8775,1
-4.268862,-5.7724204,12.319365,-21.928185,-50.491108,-0.6776023,3.5779905,-0.6118579,3.9824998,-9.7125,-21.525,1
1.5143325,-37.136463,21.217415,-21.928186,-50.491135,1.9662225,9.011026,7.259752,4.29,-18.8925,-13.4775,1
13.542802,-39.221813,11.536461,-21.92819,-50.491184,-0.71853024,-4.2814016,-2.97835,7.3875,-12.8025,-18.2025,1
-0.6835446,1.1731589,4.238934,-21.928192,-50.491203,-0.04352415,-2.5911376,-1.663157,3.6074998,-14.782499,-18.69,1
16.877924,-11.184513,-13.743915,-21.928196,-50.49123,0.3810272,-1.6174184,-0.60452753,-1.05,-17.94,-16.0725,1
-22.019472,-39.221813,-26.427198,-21.9282,-50.49126,-0.63239825,-3.7939312,-1.3064117,3.09,-15.037499,-18.9075,1
-0.5267244,1.3371617,4.0258503,-21.92821,-50.49134,-0.18585575,-1.9026926,-0.90934926,4.56,-14.827499,-18.3825,1
6.731298,-11.830948,-2.3630772,-21.92821,-50.491352,-0.3013093,-2.304031,0.46509752,-4.6425,-17.9025,-15.945,1
-5.9304376,-33.53798,-17.677588,-21.928211,-50.49137,-0.5169447,-3.1500793,-1.1353694,1.6424999,-15.8775,-18.4875,1
-0.16160862,1.1683705,3.3075895,-21.928743,-50.491375,1.5349517,1.0575604,-1.0626764,2.1,-14.25,-19.154999,1
9.485827,-9.006987,-14.876372,-21.928743,-50.491375,-0.69043046,-3.2172744,-0.6576728,-4.1925,-17.1,-17.1525,1
3.7672763,-17.345991,-12.561179,-21.928741,-50.491364,-0.7124216,-3.0731103,-0.34002286,-0.78749996,-15.697499,-18.824999,1
0.16160862,-0.025139118,2.268506,-21.928738,-50.491352,1.9430096,3.0831897,0.11262828,1.8149999,-14.5425,-19.9275,1
9.840169,-7.067683,-25.729288,-21.928736,-50.491352,-0.15042557,-2.0407481,0.63980496,-4.4775,-17.7675,-17.0025,1
-22.005108,-38.70586,-21.695059,-21.928738,-50.49134,-1.2389874,-3.5611916,-0.7780132,0.2175,-15.12,-19.365,1
0.089782566,2.801216,2.597709,-21.928738,-50.49134,0.04444045,0.26343563,-1.2434926,3.4575,-14.115,-19.9425,1
10.358514,-16.068686,-14.444219,-21.928738,-50.49134,1.4353806,0.76923203,1.002659,-5.5575,-17.3025,-16.0425,1
2.9041667,-39.221813,3.217807,-21.928738,-50.491337,0.7096727,-1.9900463,-2.6851346,3.0225,-15.105,-19.0425,1
-5.007473,3.5063083,-13.666103,-21.928738,-50.491337,-1.3196217,-2.5722008,-0.31803173,-0.32999998,-14.0025,-19.627499,1
10.3692875,-32.252293,13.253103,-21.928738,-50.491337,1.2912164,8.116108,1.9983693,-6.4575,-17.227499,-17.49,1
9.544485,-14.583082,26.882097,-21.928738,-50.491337,-1.9793562,13.869848,-9.942824,2.22,-15.8775,-18.5625,1
-0.60094464,1.5131354,-0.39863458,-21.92874,-50.491337,-2.537076,-1.6901114,0.630642,-1.485,-13.139999,-20.5275,1
-4.0521865,-24.793156,4.296395,-21.92874,-50.49131,4.0132318,-5.84766,5.9549437,-4.3575,-17.4375,-17.227499,1
4.545392,0.34955344,-2.7497406,-21.928734,-50.49129,-1.7820467,-3.124423,-3.2398002,5.505,-15.6675,-16.77,1
-0.7613561,-0.038307227,2.6240451,-21.928614,-50.490196,-0.978148,0.11010846,0.04665483,-3.9675,-11.8575,-18.945,1
-8.358158,-27.200525,-3.1471782,-21.928461,-50.490334,0.30711251,-4.8440084,6.691036,-2.7825,-17.8125,-17.055,1
3.38181,-0.31004912,-2.9149406,-21.928328,-50.490376,-2.310445,-4.247804,-2.5776222,4.56,-15.8775,-17.6175,1
-3.1794999,-2.4875755,4.140772,-21.928299,-50.490383,-0.18646662,-1.2056953,1.1596513,-0.082499996,-13.7775,-19.7025,1
-11.580753,-26.534937,-1.7058687,-21.92814,-50.490456,-0.044135015,3.2456799,5.707543,-4.0125,-16.5975,-17.4975,1
10.107122,-0.82121116,-0.08020575,-21.928097,-50.490543,-0.3483459,1.4778358,-1.2740358,-5.3175,-17.3175,-16.32,1
-0.25258827,-8.6813755,3.393781,-21.928095,-50.490574,-0.5627596,-2.7218628,-0.041309763,1.5675,-15.9675,-18.7425,1
-0.9528923,-5.7963624,2.801216,-21.928097,-50.4906,1.9955441,4.563316,-1.0871111,3.6675,-15.997499,-18.4125,1
11.311406,-6.8893156,-28.842947,-21.928095,-50.490627,-0.066737026,-2.7915015,0.29039007,-3.5549998,-18.0675,-16.5675,1
-1.2066777,-39.221813,11.733982,-21.928102,-50.490704,-0.03313944,-2.235614,-3.9422953,2.4225,-15.75,-17.7675,1
-3.5302503,3.7816415,-13.408727,-21.928133,-50.490856,-2.5230262,-2.4182627,0.34720054,-1.2375,-14.7675,-19.5,1
3.107674,-28.195316,7.1287355,-21.928148,-50.490936,5.109735,-3.2343788,7.827245,-4.7025,-18.1125,-15.9825,1
10.78947,0.94451255,-4.999093,-21.92815,-50.49098,-1.5865698,-0.15439619,-1.1885147,-3.405,-17.797499,-16.335,1
-0.58777654,-11.34253,2.2397757,-21.92817,-50.491043,-1.055117,-2.9698741,-0.58925587,1.5525,-15.5175,-19.2675,1
-1.3694834,-4.9440265,-0.14724341,-21.928188,-50.491165,-0.86391616,-2.1201606,-1.1084913,1.6125,-12.2699995,-20.3475,1
0.09935937,-9.539697,-6.307524,-21.928204,-50.491287,-2.2175937,1.2078333,-1.4652367,-5.5274997,-16.6275,-17.4375,1
-0.29448682,-2.504335,7.487866,-21.928207,-50.491314,2.8586967,-0.15561792,-1.7608954,6.555,-19.5,12.2625,1
1.4041992,4.0438066,14.101848,-21.928211,-50.491386,0.37797287,-0.15195273,0.11018482,20.137499,8.88,5.9625,1
-1.9273324,3.110068,12.898762,-21.928207,-50.491394,0.43172902,-0.6382015,0.29222265,17.699999,7.2,11.9025,1
-4.6112323,0.92416185,6.623559,-21.928207,-50.491405,-0.20234911,-0.6516405,0.49441907,13.2,10.5,13.4025,1
0.1352724,4.3287168,9.861717,-21.928205,-50.491413,0.54534996,0.6733262,-0.4078289,18.6,6.3975,10.2,1
-0.22625206,4.2066126,8.92319,-21.928205,-50.49142,-0.05085453,-0.08903361,-0.2514474,18.9,7.5,9.0975,1
-1.0510546,3.763685,9.303867,-21.92821,-50.49143,0.07315111,-0.016340645,0.022220224,18.3,7.2,11.0025,1
-1.067814,3.478775,9.010578,-21.92821,-50.49143,-0.20540343,0.12415836,0.48342347,17.9025,5.7974997,12.5025,1
-0.25258827,3.6607344,8.983045,-21.928211,-50.49143,-0.19807306,0.11682798,0.02893974,18.9,8.3025,8.7,1
-0.35194764,3.3913867,8.791509,-21.928213,-50.49143,-0.08384126,-0.050549097,0.02405282,18.3,8.4,9.599999,1

